Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
500110,AQUIDAUANA,MS,1621.17,2025,1639.67,2025_S2,318,2024,1313.97,1659,1037
150320,IGARAPÉ-AÇU,PA,1614.58,2025,1627.33,2024_S2,141,2024,1464.12,1648,1269
231070,PENTECOSTE,CE,1612.33,2026,1612.33,2026_S1,173,2024,1260.92,1630,1026
291005,DIAS DÁVILA,BA,1610.25,2025,1612.67,2025_S2,242,2024,1312.75,1632,1005
280710,SIMÃO DIAS,SE,1600.0,2026,1605.67,2025_S2,179,2024,1343.92,1616,1138
430930,GUAÍBA,RS,1597.5,2025,1597.67,2025_S1,186,2023,1378.88,1637,1162
211280,VIANA,MA,1596.58,2025,1618.33,2025_S2,170,2024,1358.18,1630,1127
230810,MAURITI,CE,1595.0,2026,1595.0,2026_S1,98,2023,1380.6,1606,1197
220120,BARRAS,PI,1594.33,2026,1594.33,2026_S1,207,2024,1316.17,1614,1107
150795,TAILÂNDIA,PA,1593.33,2026,1615.17,2025_S2,204,2023,1269.87,1623,936
250600,ESPERANÇA,PB,1591.33,2026,1591.33,2026_S1,187,2024,1236.83,1597,951
150040,ALENQUER,PA,1591.0,2026,1591.0,2026_S1,536,2025,1154.92,1614,861
330452,RIO DAS OSTRAS,RJ,1590.5,2025,1601.0,2025_S2,264,2024,1253.42,1626,924
130170,HUMAITÁ,AM,1588.67,2026,1588.67,2026_S1,417,2024,1049.32,1621,691
350650,BIRIGUI,SP,1587.75,2025,1592.83,2025_S2,145,2023,1407.77,1627,1216
352050,INDAIATUBA,SP,1576.25,2025,1580.33,2025_S1,169,2024,1369.72,1621,1180
432160,TRAMANDAÍ,RS,1572.67,2026,1572.67,2026_S1,259,2024,1192.58,1592,756
210540,ITAPECURU MIRIM,MA,1563.08,2025,1579.33,2025_S2,336,2024,1242.4,1595,990
150230,CAPITÃO POÇO,PA,1561.33,2026,1566.0,2025_S2,183,2024,1298.62,1578,970
330030,BARRA DO PIRAÍ,RJ,1558.75,2025,1587.0,2025_S1,197,2024,1347.88,1632,1109
411820,PARANAGUÁ,PR,1556.92,2025,1563.17,2025_S1,301,2024,1252.42,1575,965
270915,TEOTÔNIO VILELA,AL,1555.17,2025,1564.5,2025_S2,146,2024,1397.53,1574,1226
521975,SANTO ANTÔNIO DO DESCOBERTO,GO,1554.33,2026,1554.33,2026_S1,246,2023,1102.78,1571,753
351500,EMBU DAS ARTES,SP,1545.5,2025,1567.5,2025_S1,118,2025,1475.87,1580,1381
353070,MOGI GUAÇU,SP,1545.42,2025,1551.33,2025_S1,186,2023,1324.12,1570,1068
315210,PONTE NOVA,MG,1529.0,2025,1550.5,2025_S2,243,2024,1239.77,1566,919
410430,CAMPO MOURÃO,PR,1528.33,2025,1532.0,2025_S2,118,2024,1375.32,1557,1217
261300,SÃO BENTO DO UNA,PE,1526.33,2026,1526.33,2026_S1,190,2024,1226.77,1541,959
430300,CACHOEIRA DO SUL,RS,1519.0,2025,1524.17,2025_S1,151,2023,1325.4,1548,1123
292150,MONTE SANTO,BA,1518.08,2025,1525.0,2025_S1,112,2024,1370.93,1535,1221
230850,MOMBAÇA,CE,1517.67,2026,1517.67,2026_S1,122,2024,1324.53,1538,1187
150330,IGARAPÉ-MIRI,PA,1514.75,2025,1528.33,2025_S2,129,2023,1353.47,1540,1160
251120,PEDRAS DE FOGO,PB,1511.33,2026,1523.5,2025_S2,123,2023,1334.87,1545,1146
230220,BEBERIBE,CE,1509.67,2026,1509.67,2026_S1,133,2024,1242.32,1550,1055
316870,TIMÓTEO,MG,1498.42,2025,1508.33,2025_S1,185,2023,1277.37,1529,993
290600,CAMPO FORMOSO,BA,1496.92,2025,1497.83,2025_S2,152,2023,1349.23,1511,1193
521190,JATAÍ,GO,1493.33,2026,1494.5,2025_S2,159,2023,1250.17,1511,1044
430310,CACHOEIRINHA,RS,1481.67,2025,1491.67,2025_S1,183,2024,1234.3,1513,977
313840,LEOPOLDINA,MG,1473.0,2026,1473.0,2026_S1,138,2023,1204.33,1488,956
420300,CAÇADOR,SC,1471.67,2024,1488.33,2024_S2,141,2022,1357.62,1497,1146
314700,PARACATU,MG,1469.17,2025,1476.17,2025_S2,141,2024,1305.47,1488,1157
130140,EIRUNEPÉ,AM,1468.67,2025,1472.67,2025_S2,216,2024,1306.9,1537,1189
221000,SÃO JOÃO DO PIAUÍ,PI,1467.0,2025,1490.0,2025_S2,131,2024,1255.32,1502,1061
211250,TUTÓIA,MA,1464.08,2025,1465.0,2025_S2,162,2024,1344.53,1486,1261
317120,VESPASIANO,MG,1462.5,2025,1488.17,2025_S2,169,2022,1217.33,1508,912
412625,SARANDI,PR,1460.58,2025,1472.0,2025_S2,203,2024,1212.28,1480,991
130406,TABATINGA,AM,1459.83,2025,1468.67,2025_S2,93,2026,1357.92,1493,1213
521150,ITUMBIARA,GO,1459.67,2026,1461.5,2025_S2,160,2024,1231.15,1495,1086
230210,BATURITÉ,CE,1456.58,2025,1475.17,2025_S2,152,2024,1237.72,1487,1062
355170,SERTÃOZINHO,SP,1452.67,2026,1477.5,2025_S2,139,2025,1230.0,1514,1036
230120,ARACOIABA,CE,1443.0,2026,1445.5,2025_S2,237,2024,1102.5,1453,812
313240,ITAJUBÁ,MG,1442.92,2025,1447.5,2025_S2,125,2023,1280.68,1465,1080
220370,ESPERANTINA,PI,1442.67,2026,1456.67,2025_S2,137,2024,1236.5,1467,1026
520450,CALDAS NOVAS,GO,1442.33,2026,1471.83,2025_S2,215,2024,1125.32,1512,846
431750,SANTO ÂNGELO,RS,1441.5,2025,1445.5,2025_S2,106,2024,1304.98,1473,1176
231160,REDENÇÃO,CE,1441.0,2026,1441.0,2026_S1,145,2024,1177.77,1460,965
260420,CATENDE,PE,1437.33,2026,1445.17,2025_S2,136,2024,1243.35,1452,1040
315220,PORTEIRINHA,MG,1437.0,2025,1455.5,2025_S2,260,2025,1298.53,1660,1172
220790,PEDRO II,PI,1437.0,2026,1443.17,2025_S2,223,2024,1131.35,1453,862
412770,TOLEDO,PR,1436.58,2025,1444.83,2025_S1,114,2023,1271.47,1486,1113
120030,FEIJÓ,AC,1435.67,2026,1435.67,2026_S1,140,2024,1134.35,1464,896
230270,CAMPOS SALES,CE,1430.33,2026,1430.33,2026_S1,147,2024,1214.23,1444,1051
292860,SANTO AMARO,BA,1428.75,2025,1431.33,2025_S1,94,2024,1320.13,1444,1187
230500,GUARACIABA DO NORTE,CE,1427.33,2026,1427.33,2026_S1,205,2024,1041.68,1440,755
354390,RIO CLARO,SP,1418.92,2025,1428.33,2025_S1,188,2024,1177.97,1442,940
330520,SÃO PEDRO DA ALDEIA,RJ,1413.42,2025,1449.33,2025_S2,234,2024,1091.47,1470,848
260950,NAZARÉ DA MATA,PE,1413.0,2026,1416.83,2025_S2,98,2024,1252.5,1424,1112
410150,ARAPONGAS,PR,1412.75,2025,1416.67,2025_S2,169,2024,1218.78,1441,1017
120050,SENA MADUREIRA,AC,1412.33,2026,1414.67,2025_S2,194,2024,1135.48,1436,948
261060,PAUDALHO,PE,1412.33,2026,1412.33,2026_S1,153,2023,1138.07,1428,860
150820,VIGIA,PA,1411.33,2026,1411.33,2026_S1,158,2023,1165.13,1424,926
261180,RIBEIRÃO,PE,1408.67,2026,1411.67,2025_S2,115,2023,1249.97,1418,1094
130185,IRANDUBA,AM,1408.67,2026,1415.0,2025_S2,128,2022,1216.03,1436,1006
290100,AMARGOSA,BA,1403.67,2025,1420.5,2025_S2,114,2024,1222.57,1429,1048
291980,MACAÚBAS,BA,1402.58,2025,1410.17,2025_S2,67,2023,1318.0,1422,1231
130120,COARI,AM,1402.33,2026,1434.5,2025_S2,198,2023,1197.97,1462,992
510025,ALTA FLORESTA,MT,1394.33,2026,1398.0,2025_S2,157,2023,1150.6,1427,908
330550,SAQUAREMA,RJ,1394.0,2025,1415.17,2025_S2,173,2024,1147.47,1433,935
315670,SABARÁ,MG,1392.33,2025,1401.0,2025_S1,125,2024,1240.32,1415,1092
311230,CAPELINHA,MG,1391.92,2025,1397.83,2025_S2,102,2024,1228.58,1416,1067
230700,JAGUARUANA,CE,1391.33,2026,1391.33,2026_S1,162,2024,1008.92,1429,723
521020,IPORÁ,GO,1390.33,2026,1390.33,2026_S1,168,2024,1152.42,1397,948
293220,UBAITABA,BA,1389.67,2026,1389.67,2026_S1,146,2024,1194.55,1396,1023
110028,ROLIM DE MOURA,RO,1389.67,2025,1395.83,2025_S2,111,2024,1247.82,1413,1104
220040,ALTOS,PI,1386.33,2026,1390.5,2025_S2,161,2024,1131.72,1402,940
431020,IJUÍ,RS,1386.17,2025,1391.33,2025_S2,116,2023,1230.98,1404,1072
260880,LAJEDO,PE,1385.33,2025,1399.83,2025_S2,137,2024,1200.17,1405,1005
352530,JAÚ,SP,1383.58,2025,1386.17,2025_S1,192,2024,1128.35,1429,877
354880,SÃO CAETANO DO SUL,SP,1383.25,2025,1388.17,2025_S2,163,2023,1161.88,1416,961
522160,URUAÇU,GO,1383.0,2026,1383.0,2026_S1,145,2025,1131.42,1406,981
270730,PORTO CALVO,AL,1380.75,2024,1391.83,2024_S2,117,2023,1278.4,1424,1144
310860,BRASÍLIA DE MINAS,MG,1378.33,2025,1382.0,2025_S1,76,2023,1282.53,1396,1165
171610,PARAÍSO DO TOCANTINS,TO,1376.67,2026,1402.83,2025_S2,175,2023,1139.62,1409,875
270850,SÃO LUÍS DO QUITUNDE,AL,1375.0,2026,1378.67,2025_S2,268,2024,1134.38,1384,940
