"codigo_estado","codigo_municipio","qtd_membros","cadunico","bpc","pbf"
22,2209302,4774,4774,316,3755
31,3138302,1250,1250,188,595
50,5000252,2933,2933,346,1183
35,3517802,3494,3494,357,1013
31,3142403,3198,3198,558,1514
31,3154002,11098,11098,1908,5866
24,2408805,4432,4432,320,3056
35,3503158,1956,1956,217,776
43,4305405,1728,1728,204,631
25,2514008,3423,3423,324,2052
29,2922805,6571,6571,596,5036
29,2909000,6490,6490,443,3603
29,2915502,14100,14100,2470,8688
23,2300150,11672,11672,1367,8022
41,4125506,112652,112652,11361,44325
41,4115507,1877,1877,249,788
26,2614501,40108,40108,4080,30208
31,3170057,7586,7586,818,3893
24,2404705,10820,10820,1013,5882
31,3132305,8038,8038,973,5934
33,3303856,15030,15030,1843,8687
43,4322301,1942,1942,236,551
29,2920502,18135,18135,2073,11132
31,3140100,3264,3264,499,1936
31,3155801,8000,8000,1194,3417
35,3505005,1838,1838,207,802
25,2514651,1439,1439,121,922
15,1506112,9372,9372,1087,7066
31,3171709,5756,5756,529,2804
35,3515194,1948,1948,186,514
31,3157500,3323,3323,490,1931
26,2600807,15063,15063,1900,11103
50,5006200,25339,25339,2367,9841
31,3148400,2746,2746,472,1707
21,2103158,9715,9715,430,8446
21,2103703,26057,26057,1500,20088
43,4321501,13895,13895,2360,6715
15,1501600,10435,10435,892,8160
27,2701357,5057,5057,527,3987
27,2706109,9912,9912,748,7986
43,4314787,867,867,33,66
41,4106209,8802,8802,898,3812
15,1501907,23140,23140,1960,19177
26,2605806,11373,11373,786,8909
22,2205201,13249,13249,1008,9722
41,4108700,3302,3302,358,1795
42,4219101,1325,1325,227,285
43,4306809,5123,5123,501,1833
42,4206652,2291,2291,237,862
35,3501806,2211,2211,333,898
23,2313005,11304,11304,1260,6556
35,3500105,7505,7505,1168,1985
43,4308458,1335,1335,169,514
31,3120805,7797,7797,1067,4056
29,2930105,50339,50339,5892,32104
21,2104602,9756,9756,735,7478
41,4113502,8828,8828,1275,2438
43,4306932,3097,3097,423,937
29,2910727,71172,71172,11731,37766
31,3127008,6434,6434,699,3155
31,3171030,5988,5988,552,3947
41,4120101,2274,2274,217,590
31,3134509,2085,2085,260,713
24,2405108,4814,4814,479,3321
51,5108857,1738,1738,186,577
29,2901403,11227,11227,797,7892
41,4116901,10821,10821,1130,4077
52,5208004,55482,55482,7304,28381
31,3158953,18763,18763,2337,7619
41,4116950,1993,1993,223,766
35,3532306,2744,2744,619,1274
52,5220504,3486,3486,356,1595
41,4128500,8395,8395,1066,4343
26,2612000,7986,7986,675,5617
29,2904506,8844,8844,603,6153
35,3532843,976,976,93,239
13,1302405,40413,40413,3504,32733
43,4310439,844,844,115,504
31,3147303,8366,8366,1120,2872
41,4111308,2165,2165,317,799
41,4107546,3177,3177,253,1878
25,2501153,1716,1716,102,1150
11,1100700,4799,4799,581,1774
35,3544509,1723,1723,213,476
43,4306130,683,683,60,72
31,3109600,1995,1995,201,658
42,4212403,985,985,91,249
41,4122651,3174,3174,332,1651
52,5200506,1227,1227,156,423
23,2313351,14637,14637,1194,11445
31,3126703,15618,15618,1843,9668
43,4301073,616,616,92,113
35,3506706,5527,5527,591,2413
29,2904209,8690,8690,788,5865
29,2906600,10354,10354,845,6399
31,3132800,1368,1368,184,676
25,2505105,13643,13643,1399,9969
31,3122355,5312,5312,708,3261
29,2921401,13403,13403,589,9981
31,3130309,2723,2723,341,1239
35,3525607,1948,1948,179,940
31,3114105,6366,6366,717,3239
29,2926400,23944,23944,1955,15407
35,3536406,4064,4064,476,2271
22,2200509,12739,12739,1135,9624
42,4201802,553,553,122,185
41,4115903,1352,1352,141,515
35,3533403,11540,11540,1731,5310
14,1400209,16263,16263,1657,12214
29,2931806,13105,13105,1518,9179
35,3540804,5221,5221,805,1850
51,5100359,3488,3488,247,1896
31,3149903,8689,8689,918,2497
35,3516309,83242,83242,9658,42216
23,2306108,19754,19754,2375,15235
43,4305157,1332,1332,128,523
35,3550704,33776,33776,3817,14797
25,2515302,37295,37295,7206,28492
42,4214151,623,623,94,238
43,4320552,2143,2143,270,1011
31,3125101,17701,17701,1846,4480
31,3170503,4479,4479,708,1418
31,3109204,5031,5031,817,3022
31,3163508,3864,3864,468,2463
43,4306205,4960,4960,294,1189
33,3302106,10516,10516,1483,5096
24,2414308,1708,1708,141,854
41,4123857,6472,6472,571,3366
35,3554300,9303,9303,886,5067
35,3511102,19314,19314,4314,7838
43,4322400,48777,48777,8782,25574
31,3104502,11320,11320,1942,6413
31,3127370,1840,1840,274,1021
42,4208203,51256,51256,6585,21429
25,2513653,2307,2307,167,1260
29,2917706,22088,22088,2119,13905
35,3523008,2638,2638,250,988
43,4313490,2754,2754,157,1109
21,2112852,6744,6744,524,5216
21,2111722,7219,7219,434,5428
31,3130655,4809,4809,428,3549
33,3300159,5225,5225,665,2657
31,3152600,2412,2412,313,896
42,4201000,3930,3930,431,2147
35,3514403,10983,10983,1891,4130
15,1506351,15415,15415,1932,9927
31,3109451,3692,3692,604,1721
31,3172004,19543,19543,2259,6366
35,3555356,1741,1741,296,731
27,2705606,8041,8041,914,5843
31,3135209,43925,43925,6341,28216
31,3148301,5389,5389,766,2869
41,4102208,2144,2144,169,569
31,3121001,4762,4762,398,2663
35,3544608,1981,1981,308,872
28,2801603,3802,3802,474,2543
23,2308351,9717,9717,954,6726
41,4115101,6104,6104,664,2353
29,2921005,33667,33667,3766,20058
24,2411429,2090,2090,198,953
52,5221551,2498,2498,243,1359
35,3525508,4036,4036,624,1690
35,3518800,508237,508237,50506,279634
52,5218300,18294,18294,2357,11102
22,2202554,4772,4772,351,3413
31,3170701,26358,26358,4059,12775
21,2105476,13681,13681,821,11057
29,2932705,16487,16487,2035,12898
22,2211506,3017,3017,198,1735
33,3304524,63544,63544,7785,31674
21,2100402,5215,5215,239,3979
41,4115002,3746,3746,376,1180
15,1507300,45115,45115,3025,33105
25,2513901,21477,21477,2680,15656
33,3301801,5770,5770,704,3533
31,3168309,2542,2542,409,1327
35,3555703,917,917,57,326
51,5107883,1356,1356,68,606
33,3300506,11197,11197,1644,5830
33,3301157,7671,7671,961,3888
22,2210979,2296,2296,181,1281
33,3306107,30151,30151,3686,18396
31,3117603,2427,2427,317,985
41,4104451,7040,7040,904,1991
51,5106778,6426,6426,675,3739
31,3141504,3557,3557,404,1840
43,4302352,1805,1805,137,432
31,3113305,16137,16137,1767,7810
42,4219606,375,375,81,131
29,2925907,20488,20488,1783,14977
42,4218756,1177,1177,123,173
42,4219150,1159,1159,121,318
21,2107308,3518,3518,195,2748
52,5201504,2393,2393,320,965
31,3120300,5093,5093,358,3681
24,2412609,12417,12417,1283,8069
31,3140209,1779,1779,239,621
17,1701101,3459,3459,388,1780
29,2928604,38221,38221,3332,27657
21,2109551,4718,4718,422,3099
43,4307807,9758,9758,723,3382
33,3301850,32817,32817,3926,18725
29,2925758,20542,20542,1837,16531
41,4112009,14236,14236,1540,6512
35,3503109,3159,3159,353,1359
22,2207207,5038,5038,345,3803
22,2207108,2495,2495,147,1506
32,3202504,9083,9083,742,2927
24,2401800,8852,8852,814,5405
29,2902005,12193,12193,911,7337
28,2805505,16285,16285,1673,11453
29,2928208,19335,19335,1745,12003
21,2112456,17304,17304,961,14583
25,2504900,12957,12957,1403,9949
11,1101609,4820,4820,515,1855
25,2514909,5183,5183,521,3595
31,3116902,1415,1415,104,724
31,3144359,5186,5186,564,2396
15,1507003,22732,22732,2628,17222
31,3152170,7632,7632,1075,4483
42,4213351,1536,1536,177,798
35,3513603,11237,11237,1632,6163
23,2307007,27413,27413,3710,17434
24,2413557,3856,3856,343,2399
31,3147956,3897,3897,431,2474
42,4205308,2658,2658,485,949
35,3508009,12120,12120,1579,8127
51,5105580,6937,6937,669,3776
42,4209102,112310,112310,15714,44279
23,2300507,8052,8052,1122,4116
29,2904050,13464,13464,892,9163
41,4103701,40997,40997,5552,13343
28,2801108,4101,4101,330,2912
43,4304408,16058,16058,1495,7932
41,4125456,2194,2194,207,849
29,2919405,9485,9485,807,5143
35,3503802,15337,15337,2232,6213
35,3548104,1676,1676,304,731
22,2201002,3847,3847,236,2537
33,3303104,7439,7439,973,4088
32,3201407,12140,12140,1211,5531
25,2512036,3557,3557,438,2159
31,3110608,10045,10045,1375,4015
27,2705903,4245,4245,331,3606
29,2916609,4849,4849,886,2766
22,2209906,4577,4577,282,3392
31,3103009,5354,5354,691,2277
35,3504503,25233,25233,3661,12513
35,3533205,2022,2022,162,872
29,2909703,9642,9642,781,6610
29,2917508,51206,51206,4693,33401
23,2307601,34239,34239,4568,21869
43,4309803,1260,1260,180,514
31,3125309,1918,1918,216,1153
43,4319711,321,321,44,100
41,4103206,2872,2872,469,706
21,2108801,12132,12132,1006,9139
33,3300456,258367,258367,27461,174500
42,4205605,1198,1198,167,690
41,4100905,2884,2884,268,1351
24,2403806,6926,6926,780,3831
22,2201804,2785,2785,279,1749
29,2911808,15107,15107,2060,10372
21,2105500,18020,18020,1948,11991
26,2604502,15308,15308,1594,11897
23,2307502,23324,23324,2133,14980
27,2701407,21282,21282,3120,13754
32,3204559,15176,15176,1077,6556
51,5103908,4315,4315,330,2744
51,5106299,5788,5788,744,2052
35,3520301,16902,16902,2199,10534
51,5106158,8017,8017,601,4148
33,3300258,18654,18654,1733,7537
