Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
210317,CENTRO NOVO DO MARANHÃO,MA,176.75,2025,184.5,2025_S2,26,2024,148.69,186,106
291992,MADRE DE DEUS,BA,176.67,2025,185.0,2026_S2,32,2024,145.04,185,95
314050,MARTINHO CAMPOS,MG,176.5,2025,178.17,2025_S2,17,2026,172.12,180,159
260100,ANGELIM,PE,176.25,2025,176.67,2025_S2,15,2023,165.12,182,142
420400,CATANDUVAS,SC,176.17,2024,177.83,2024_S2,12,2026,172.65,181,156
355610,VALENTIM GENTIL,SP,176.0,2026,182.0,2026_S2,44,2025,165.9,182,136
421175,OTACÍLIO COSTA,SC,175.92,2025,177.67,2025_S2,22,2024,156.67,179,132
320425,PONTO BELO,ES,175.86,2026,178.0,2026_S2,23,2024,146.73,183,112
410465,CARAMBEÍ,PR,175.75,2025,177.5,2025_S1,24,2024,164.83,180,143
280610,ROSÁRIO DO CATETE,SE,175.71,2026,189.0,2026_S2,32,2025,122.06,189,81
230010,ABAIARA,CE,175.71,2026,179.0,2026_S2,22,2024,160.12,180,139
314910,PEDRALVA,MG,175.67,2025,175.83,2025_S2,9,2023,169.25,177,154
150611,QUATIPURU,PA,175.5,2025,183.83,2025_S2,31,2024,144.83,186,86
312385,ENTRE FOLHAS,MG,175.08,2025,177.0,2025_S1,22,2023,161.52,179,134
354860,SÃO BENTO DO SAPUCAÍ,SP,175.08,2025,176.67,2025_S1,13,2023,168.71,180,157
315550,RIO PARANAÍBA,MG,175.08,2025,177.83,2025_S2,10,2024,167.08,179,152
510260,CAMPINÁPOLIS,MT,175.0,2026,177.0,2026_S2,17,2024,148.56,177,121
140045,PACARAIMA,RR,175.0,2025,180.17,2025_S2,36,2023,150.33,184,105
420390,CAPINZAL,SC,174.92,2025,175.33,2025_S1,30,2025,168.98,181,151
220030,ALTO LONGÁ,PI,174.86,2026,175.0,2026_S1,34,2024,138.77,179,99
290090,ALMADINA,BA,174.5,2025,175.5,2025_S1,13,2025,164.71,181,152
431660,SANANDUVA,RS,174.5,2025,176.83,2025_S1,19,2026,168.54,181,146
411910,PIÊN,PR,174.43,2026,177.0,2026_S2,30,2025,158.04,183,139
241420,TIBAU DO SUL,RN,174.29,2026,177.0,2026_S2,34,2024,134.67,178,89
250570,DONA INÊS,PB,174.25,2025,175.83,2025_S2,27,2024,156.08,179,132
430517,CERRO GRANDE DO SUL,RS,174.08,2025,178.67,2025_S1,16,2024,165.67,183,145
250820,LAGOA DE DENTRO,PB,174.0,2026,176.17,2025_S2,20,2024,153.92,181,125
314085,MATIAS CARDOSO,MG,174.0,2025,176.0,2026_S2,24,2023,157.46,178,125
250940,MOGEIRO,PB,173.86,2026,183.0,2026_S2,32,2025,134.08,183,90
421780,TAIÓ,SC,173.75,2025,176.0,2025_S2,24,2026,159.17,178,142
315015,PIEDADE DE CARATINGA,MG,173.42,2025,175.5,2025_S1,25,2024,154.73,178,125
290265,BANZAÊ,BA,173.33,2023,178.5,2024_S1,21,2024,167.4,181,152
230720,JATI,CE,173.0,2026,181.0,2026_S2,21,2024,152.71,181,124
521140,ITAUÇU,GO,173.0,2026,174.0,2026_S2,34,2024,138.21,176,107
420100,ANITA GARIBALDI,SC,172.83,2025,174.0,2025_S2,17,2024,159.77,179,128
420780,IRANI,SC,172.25,2025,176.5,2025_S1,18,2025,164.08,179,153
220250,CARACOL,PI,172.25,2025,174.0,2026_S2,29,2024,149.77,177,114
350880,CAFELÂNDIA,SP,172.25,2024,173.0,2024_S2,18,2026,164.9,177,148
241340,SERRA NEGRA DO NORTE,RN,172.17,2025,179.67,2025_S2,23,2025,153.4,182,133
292690,RIO DO PIRES,BA,172.0,2025,173.83,2025_S2,19,2024,160.38,177,143
292105,MATINA,BA,171.92,2025,172.83,2025_S1,14,2026,165.52,175,154
270660,PAULO JACINTO,AL,171.4,2022,174.5,2023_S1,25,2023,160.62,177,150
320030,ALFREDO CHAVES,ES,171.33,2025,172.83,2025_S2,24,2023,151.73,175,114
292937,SÃO JOSÉ DO JACUÍPE,BA,170.92,2025,171.83,2025_S1,16,2024,159.52,175,145
240770,MONTANHAS,RN,170.86,2026,177.0,2026_S2,22,2024,145.58,177,114
292940,SÃO MIGUEL DAS MATAS,BA,170.83,2025,175.0,2026_S2,15,2024,163.83,176,148
351515,ENGENHEIRO COELHO,SP,170.75,2025,171.0,2025_S1,28,2024,149.35,178,120
412370,SANTA ISABEL DO IVAÍ,PR,170.71,2026,183.0,2026_S2,23,2024,142.75,183,117
411275,JESUÍTAS,PR,170.67,2025,172.5,2025_S2,9,2024,167.5,176,158
420880,JAGUARUNA,SC,170.57,2026,176.0,2026_S2,25,2024,151.21,176,120
290225,ARATACA,BA,170.43,2026,181.0,2026_S2,24,2026,141.21,181,112
250905,MARCAÇÃO,PB,170.43,2026,170.5,2026_S1,39,2025,125.75,175,92
520400,CABECEIRAS,GO,170.42,2025,173.17,2025_S2,28,2024,152.67,178,120
350275,ARAÇARIGUAMA,SP,170.42,2024,174.5,2024_S2,37,2024,147.17,190,126
410680,CRUZ MACHADO,PR,170.42,2025,171.83,2025_S2,14,2024,162.85,176,151
130002,ALVARÃES,AM,170.33,2025,174.0,2025_S2,38,2024,143.83,177,115
140017,CANTÁ,RR,170.29,2026,180.0,2026_S2,46,2024,132.92,180,81
130020,ATALAIA DO NORTE,AM,170.29,2026,170.83,2026_S1,28,2024,135.75,183,78
292160,MORPARÁ,BA,170.08,2025,171.67,2025_S1,15,2024,155.77,174,133
251240,PUXINANÃ,PB,170.0,2026,179.0,2026_S2,44,2024,127.19,179,80
315420,RESENDE COSTA,MG,169.92,2025,171.0,2025_S2,14,2025,159.75,177,145
250930,MATARACA,PB,169.86,2026,170.0,2026_S1,34,2025,139.19,175,109
520215,ARAGUAPAZ,GO,169.75,2024,173.5,2024_S2,130,2025,153.46,177,44
231040,PARAMOTI,CE,169.25,2024,174.0,2026_S2,65,2024,152.44,191,120
311390,CARMO DA CACHOEIRA,MG,169.17,2025,170.0,2025_S1,16,2023,160.83,172,143
312220,DIVINOLÂNDIA DE MINAS,MG,169.14,2026,178.0,2026_S2,25,2023,137.44,178,101
250077,APARECIDA,PB,169.0,2026,171.5,2025_S2,14,2024,156.19,174,134
410350,CALIFÓRNIA,PR,169.0,2024,173.33,2024_S2,15,2025,160.27,175,143
350670,BOA ESPERANÇA DO SUL,SP,168.75,2025,169.0,2025_S1,39,2024,162.0,172,132
